dataset,model,tll,sll,seed
SaltonSea_10,neural_stpp,1.9573,-5.5837,2
SanJac_10,neural_stpp,1.1367,-8.1566,0
SanJac_10,neural_stpp,1.1325,-8.2548,1
SanJac_10,neural_stpp,1.1263,-8.2186,2
WHITE_06,neural_stpp,1.8122,-13.2549,0
WHITE_06,neural_stpp,1.8093,-13.7897,1
WHITE_06,neural_stpp,1.8050,-11.738299999999999,2
ComCat_25,ETAS,1.4343428344882627,-8.689770387238827,0
ComCat_25,Poisson,0.5126406686259881,-13.774504128914366,0
SCEDC_20,ETAS,2.5409825345527426,-7.534222208042888,0
SCEDC_20,Poisson,0.6430521507381717,-12.916479284117047,0
SCEDC_25,ETAS,2.139415098479981,-7.537999746001956,0
SCEDC_25,Poisson,-0.16087563945479033,-12.916479284117049,0
SCEDC_30,ETAS,1.8403219075348012,-7.62064273862676,0
SCEDC_30,Poisson,-1.0644195960258733,-12.916479284117047,0
SaltonSea_10,ETAS,2.332039202380453,-2.3150835316085487,0
SaltonSea_10,Poisson,0.12438394552261878,-9.024073220519055,0
SanJac_10,ETAS,1.1325267069430716,-5.398118234811221,0
SanJac_10,Poisson,0.793916834108074,-9.24048765983926,0
WHITE_06,ETAS,2.0210970061274423,-4.2610686365574395,0
WHITE_06,Poisson,1.7146263035166802,-8.294098415851876,0
